Event	ID	Name			Wwise Object Path	Notes
	70120664	bombExplode			\Default Work Unit\bombExplode	
	392504123	Missile			\Default Work Unit\Missile	
	463334499	DJump			\Default Work Unit\DJump	
	716258129	morphBomb			\Default Work Unit\morphBomb	
	779278001	Death			\Default Work Unit\Death	
	1190179400	beam			\Default Work Unit\beam	
	1246534283	threat_damage			\Default Work Unit\threat_damage	
	1631926714	energy_low			\Default Work Unit\energy_low	
	1647524372	SMissile			\Default Work Unit\SMissile	
	1727945837	Bomb			\Default Work Unit\Bomb	
	1988175364	threat_warning			\Default Work Unit\threat_warning	
	2026920480	Roll			\Default Work Unit\Roll	
	2549697654	cShoot25			\Default Work Unit\cShoot25	
	2600030409	cShoot75			\Default Work Unit\cShoot75	
	2633585682	cShoot50			\Default Work Unit\cShoot50	
	2892136322	missile_warning			\Default Work Unit\missile_warning	
	3061162274	cShoot100			\Default Work Unit\cShoot100	
	3193947170	Hurt			\Default Work Unit\Hurt	
	3536758464	Powerbomb			\Default Work Unit\Powerbomb	
	3833651337	Jump			\Default Work Unit\Jump	
	4285247397	Charge			\Default Work Unit\Charge	

Game Parameter	ID	Name			Wwise Object Path	Notes
	3673881719	Volume_SFX			\Default Work Unit\Volume_SFX	

Effect plug-ins	ID	Name	Type				Notes
	479531698	threat_damage	D:\documents\WwiseProjects\Samus\.cache\Windows\SFX\threat_damage_CCD3FBA0.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\SFX Mixer\HUD\threat_damage		3595
	533000023	bomb_explode	D:\documents\WwiseProjects\Samus\.cache\Windows\SFX\bomb_explode_0D5756A9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\SFX Mixer\Gun SFX\bomb_explode		6535
	581771752	charge_50_shoot	D:\documents\WwiseProjects\Samus\.cache\Windows\SFX\charge_50_shoot_0D5756A9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\SFX Mixer\Gun SFX\charge_50_shoot		9085
	666931925	energy_low	D:\documents\WwiseProjects\Samus\.cache\Windows\SFX\energy_low_CCD3FBA0.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\SFX Mixer\HUD\energy_low		3649
	697968246	death	D:\documents\WwiseProjects\Samus\.cache\Windows\SFX\death_0D5756A9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\SFX Mixer\Movement SFX\death		13452
	752851236	charge_75_shoot	D:\documents\WwiseProjects\Samus\.cache\Windows\SFX\charge_75_shoot_0D5756A9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\SFX Mixer\Gun SFX\charge_75_shoot		9409
	932388119	charge_start	D:\documents\WwiseProjects\Samus\.cache\Windows\SFX\charge_start_0D5756A9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\SFX Mixer\Gun SFX\charge test\charge_start		11859
	943246087	missile_warning	D:\documents\WwiseProjects\Samus\.cache\Windows\SFX\missile_warning_CCD3FBA0.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\SFX Mixer\HUD\missile_warning		3695
	976754621	hurt2	D:\documents\WwiseProjects\Samus\.cache\Windows\SFX\hurt2_0D5756A9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\SFX Mixer\Movement SFX\Hurt\hurt2		2228
	989595916	beam1	D:\documents\WwiseProjects\Samus\.cache\Windows\SFX\beam1_0D5756A9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\SFX Mixer\Gun SFX\beam1		7786
	1009489239	djump	D:\documents\WwiseProjects\Samus\.cache\Windows\SFX\djump_0D5756A9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\SFX Mixer\Movement SFX\djump		8983
	1052407334	charge_25_shoot	D:\documents\WwiseProjects\Samus\.cache\Windows\SFX\charge_25_shoot_0D5756A9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\SFX Mixer\Gun SFX\charge_25_shoot		7699

